Forest;Forest;Forest;Mountain;Forest;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Forest;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Forest;Forest;Grass;Mountain;Mountain;Forest;Grass;Grass;Street_v;Grass;Grass;Grass;Forest;Forest;Forest;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Grass;Forest;Grass;Mountain;Forest;Grass;Grass;Grass;Street_v;Grass;Grass;Forest;Forest;Forest;Forest;Forest;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Grass;Forest;Forest;Forest;Grass;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Forest;Forest;Forest;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Forest;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Grass;Grass;Grass;Forest;Forest;Forest;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Grass;Grass;Forest;Forest
Forest;Grass;Grass;Forest;Forest;Forest;Street_c_d_r;Street_h;Street_h_u;Street_h;Street_c_d_l;Grass;Grass;Grass;Mountain;Mountain;Mountain;Grass;Grass;Grass;Street_v;Grass;Forest;Forest;Forest
Forest;Forest;Grass;Forest;Forest;Forest;Street_v;Forest;Forest;Forest;Street_v;Grass;Grass;Mountain;Mountain;Mountain;Mountain;Mountain;Grass;Grass;Street_v;Grass;Forest;Forest;Forest
Forest;Grass;Grass;Forest;Forest;Grass;Street_v;Forest;Forest;Forest;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Mountain;Mountain;Grass;Grass;Grass;Grass;Street_v_r;Street_h;Street_h;Street_h;Street;Street_h;Street_h;Street_h;Street_h;Street_h;Street_h;Street_h;Street_h;Street_h;Street_v_l;Mountain;Grass;Forest;Forest
Mountain;Mountain;Mountain;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Mountain;Forest;Mountain;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Mountain;Forest;Mountain;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Grass;Street_v;Mountain;Grass;Forest;Forest
Mountain;Mountain;Mountain;Mountain;Grass;Grass;Street_v;Grass;Grass;Grass;Street_v;Grass;Grass;Grass;Grass;Grass;Grass;Street_c_d_r;Street_h;Street_h;Street_c_u_l;Mountain;Grass;Forest;Forest
